variable_added
card-zip_total_3
card-state_max_14
card-state_total_3
card-state_max_30
card-zip_total_0
card-merch_total_0
card-state_total_0
card-state_total_14
card-zip_avg_30
card-state_avg_7
merchnum-zip_max_0
merchnum-merchstate_max_0
card-zip_total_1
Merchnum_max_0
card-zip_avg_60
card-state_total_30
merchnum-merchstate_total_0
Merchnum_total_1
card-state_avg_3
merchnum-merchstate_total_1
